CODICE;NOME FILE;PATH
X17001;Technical.sheet__CRONOS.162__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__CRONOS.162__IT.pdf
17001;Technical.sheet__CRONOS.162__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__CRONOS.162__IT.pdf
X17006;Technical.sheet__CRONOS.183__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__CRONOS.183__IT.pdf
17006;Technical.sheet__CRONOS.183__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__CRONOS.183__IT.pdf
X17009;Technical.sheet__CRONOS.203__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__CRONOS.203__IT.pdf
17009;Technical.sheet__CRONOS.203__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__CRONOS.203__IT.pdf
X17005;Technical.sheet__CRONOS.400__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__CRONOS.400__IT.pdf
17005;Technical.sheet__CRONOS.400__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__CRONOS.400__IT.pdf
X17049;Technical.sheet__INOXA.202.HF__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__INOXA.202.HF__IT.pdf
17049;Technical.sheet__INOXA.202.HF__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__INOXA.202.HF__IT.pdf
X1704Y;Technical.sheet__INOXA.203.HFP__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__INOXA.203.HFP__IT.pdf
1704Y;Technical.sheet__INOXA.203.HFP__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__INOXA.203.HFP__IT.pdf
X1701A;Technical.sheet__INOXA.270.HFP__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__INOXA.270.HFP__IT.pdf
1701A;Technical.sheet__INOXA.270.HFP__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__INOXA.270.HFP__IT.pdf
X1705G;Technical.sheet__ALUX.202.AC-DC__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__ALUX.202.AC-DC__IT.pdf
1705G;Technical.sheet__ALUX.202.AC-DC__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__ALUX.202.AC-DC__IT.pdf
X1705M;Technical.sheet__ALUX.301.AC-DC__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__ALUX.301.AC-DC__IT.pdf
1705M;Technical.sheet__ALUX.301.AC-DC__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__ALUX.301.AC-DC__IT.pdf
X1705Q;Technical.sheet__ALUX.501.AC-DC__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__ALUX.501.AC-DC__IT.pdf
1705Q;Technical.sheet__ALUX.501.AC-DC__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__ALUX.501.AC-DC__IT.pdf
X1708D;Technical.sheet__FUTURA.2005-2505.C__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__FUTURA.2005-2505.C__IT.pdf
1708D;Technical.sheet__FUTURA.2005-2505.C__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__FUTURA.2005-2505.C__IT.pdf
X17025;Technical.sheet__PLUS.355.CW__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__PLUS.355.CW__IT.pdf
17025;Technical.sheet__PLUS.355.CW__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__PLUS.355.CW__IT.pdf
X17030;Technical.sheet__PLASMA.WELD.82.HFP__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__PLASMA.WELD.82.HFP__IT.pdf
17030;Technical.sheet__PLASMA.WELD.82.HFP__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__PLASMA.WELD.82.HFP__IT.pdf
X17030;Technical.sheet__PLASMA.CUT.45.PFC__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__PLASMA.CUT.45.PFC__IT.pdf
17030;Technical.sheet__PLASMA.CUT.45.PFC__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__PLASMA.CUT.45.PFC__IT.pdf
X17030;Technical.sheet__PLASMA.CUT.105__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__PLASMA.CUT.105__IT.pdf
17030;Technical.sheet__PLASMA.CUT.105__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__PLASMA.CUT.105__IT.pdf
X17030;Technical.sheet__PLASMA.CUT.165__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__PLASMA.CUT.165__IT.pdf
17030;Technical.sheet__PLASMA.CUT.165__IT.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Technical.sheet__PLASMA.CUT.165__IT.pdf
X1705G;Repair Manual__ALUX 202 AC-DC__REV_00.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Repair Manual__ALUX 202 AC-DC__REV_00.pdf
1705G;Repair Manual__ALUX 202 AC-DC__REV_00.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Repair Manual__ALUX 202 AC-DC__REV_00.pdf
X1705M;Repair Manual__ALUX 301 AC-DC__REV_00.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Repair Manual__ALUX 301 AC-DC__REV_00.pdf
1705M;Repair Manual__ALUX 301 AC-DC__REV_00.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Repair Manual__ALUX 301 AC-DC__REV_00.pdf
X17001;Repair manual__CRONOS 162-183-203__INOXA 202 HF__INOXA 203 HFP__REV_00.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Repair manual__CRONOS 162-183-203__INOXA 202 HF__INOXA 203 HFP__REV_00.pdf
17001;Repair manual__CRONOS 162-183-203__INOXA 202 HF__INOXA 203 HFP__REV_00.pdf;jar:com.solgroup.core.constants.SolgroupCoreConstants&/solgroupinitialdata/import/sampledata/productCatalogs/solgroupITProductCatalog/documents/Repair manual__CRONOS 162-183-203__INOXA 202 HF__INOXA 203 HFP__REV_00.pdf
